DateTime,dining_room_temp,living_room_temp,forecast_temp,dinning_room_CO2,living_room_CO2,dining_room_humidity,living_room_humidity,Lighting_dinning_room,Lighting_room,precipitacion,wind,outdoor_temp,outdoor_humidity,Day_Of_Week
13-03-2012 11:45,18.1875,17.8275,0,216.56,221.92,39.9125,42.415,81.665,113.52,0,1.42625,18.115,48.375,2
13-03-2012 12:00,18.4633,18.1207,6.8,219.947,220.363,39.9267,42.2453,81.7413,113.605,0,1.592,18.4147,47.808,2
13-03-2012 12:15,18.7673,18.4367,17,219.403,218.933,39.772,42.2267,81.424,113.6,0,1.89133,18.8533,47.432,2
13-03-2012 12:30,19.0727,18.7513,18,218.613,217.045,39.776,42.0987,81.5013,113.344,0,1.828,19.2907,47.024,2
13-03-2012 12:45,19.3721,19.0414,20,217.714,216.08,39.7757,42.0686,81.4657,113.034,0,2.36071,19.74,45.4743,2
13-03-2012 13:00,19.6407,19.2773,20,218.389,216.011,39.8107,42.0347,81.2427,113.6,0,2.06333,20.166,45.5467,2
13-03-2012 13:15,19.912,19.5367,20,218.155,215.829,39.8613,41.9947,81.36,112.981,0,2.23067,20.566,44.968,2
13-03-2012 13:30,20.164,19.7307,20,216.661,215.296,39.824,41.9947,81.024,111.259,0,1.924,20.8427,45.1813,2
13-03-2012 13:45,20.412,19.9693,20,217.461,214.549,39.9587,42.1253,81.104,83.3547,0,2.51067,21.204,45.416,2
13-03-2012 14:00,20.64,20.1407,20,215.349,213.909,39.94,42.0427,81.1813,83.36,0,2.65333,21.5227,45.0213,2
13-03-2012 14:15,20.8453,20.3267,20,213.888,213.312,39.9813,42.1787,61.0693,83.6107,0,2.82667,21.756,44.36,2
13-03-2012 14:30,21.0333,20.4713,20,215.413,213.739,40.3587,42.7067,51.2373,59.952,0,2.49467,21.984,44.7947,2
13-03-2012 14:45,21.2333,20.9093,20,216.021,222.528,40.9107,41.5147,43.3733,52.824,0,2.466,22.108,43.984,2
13-03-2012 15:00,21.4293,21.4253,19.6667,216.256,219.68,41.1987,40.956,36.2653,45.6747,0,2.432,22.1373,44.5467,2
13-03-2012 15:15,21.488,21.8467,19,213.173,219.285,41.88,40.6347,34.476,40.16,0,1.732,22.08,44.7813,2
13-03-2012 15:30,21.524,22.1573,18.6667,211.093,217.589,43.2213,40.8413,31.1267,32.248,0,1.89133,21.9373,45.6773,2
13-03-2012 15:45,21.584,22.404,18.2,211.157,215.136,43.3653,40.8867,21.442,23.44,0,1.64267,21.7067,45.5173,2
13-03-2012 16:00,21.612,22.7307,18,209.419,214.24,42.744,40.3867,20.822,23.44,0,1.59067,21.4667,45.2373,2
13-03-2012 16:15,21.664,22.9373,18,209.408,213.632,42.216,39.9227,20.8233,23.44,0,1.732,21.1773,45.0747,2
13-03-2012 16:30,21.6853,23.2,18,209.547,215.029,41.976,39.6133,21.2633,22.244,0,1.59,20.9373,45.072,2
13-03-2012 16:45,21.788,23.436,18,212.715,217.067,41.52,39.084,20.4807,23.44,0,1.94733,20.7107,44.128,2
13-03-2012 17:00,21.832,23.668,18.7333,212.405,216.661,41.3253,38.3013,20.742,22.784,0,1.564,20.4627,43.2747,2
13-03-2012 17:15,21.808,23.852,19,212.064,216.672,40.8667,37.7867,20.84,23.5853,0,1.544,20.2047,43.6107,2
13-03-2012 17:30,21.768,24.0213,18.6667,211.211,216.299,40.9813,37.712,20.9207,23.2253,0,1.08867,19.976,45.8293,2
13-03-2012 17:45,21.7133,24.1413,18,211.051,216.768,41.4107,37.748,19.4407,23.2427,0,0.844667,19.756,47.0693,2
13-03-2012 18:00,21.66,24.268,18,210.763,217.088,41.992,37.8373,11.5887,21.4213,0,1.442,19.5273,49.5467,2
13-03-2012 18:15,21.596,24.38,18,210.571,215.616,43.1973,38.2173,11.5073,13.362,0,0.969333,19.3013,52.2027,2
13-03-2012 18:30,21.5307,24.0707,17.8667,209.92,216.107,43.8213,39.356,11.5073,13.1027,0,0.798667,19.0413,53.8053,2
13-03-2012 18:45,21.4493,23.588,17,209.792,215.477,44.3893,40.1587,11.5073,13.6067,0,0.228,18.768,54.928,2
13-03-2012 19:00,21.3747,23.2867,17,210.059,214.987,44.68,40.752,11.4427,13.0213,0,0.324,18.4967,55.752,2
13-03-2012 19:15,21.276,23.032,16.2667,210.069,215.115,44.64,41.2507,11.426,13.5413,0,0.716,18.23,56.0213,2
13-03-2012 19:30,21.1987,22.7747,15.6667,209.909,216,44.8213,41.616,11.3113,12.7773,0,0.110667,18.0053,56.584,2
13-03-2012 19:45,21.0933,22.5533,15.6,210.656,214.901,44.7493,42.0027,11.67,13.3787,0,0.661333,17.7807,57.5387,2
13-03-2012 20:00,21,22.352,15,210.667,214.549,44.5867,42.4373,11.524,13.0213,0,0.615333,17.576,57.9147,2
13-03-2012 20:15,20.9053,22.1227,15,209.877,213.888,44.3227,42.6267,11.6053,13.0213,0,0.458667,17.3707,57.5893,2
13-03-2012 20:30,20.816,21.9347,15,210.315,213.675,44.4693,42.7493,11.7847,13.2153,0,0.132,17.1607,57.1467,2
13-03-2012 20:45,20.72,21.7133,15,209.429,214.123,44.0507,42.808,11.4427,13.2653,0,0.119333,16.9407,57.1653,2
13-03-2012 21:00,20.628,21.5373,15,209.216,214.304,43.6827,42.8533,11.5887,12.5813,0,0,16.6853,57.1813,2
